#: table_doi: 10.17182/hepdata.59366.v1/t4
#: name: Table 4
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI-, K- and PBAR)  and  at a centre-of-mass energy of 2760 GeV.

#: data_file: Table4.yaml
#: keyword reactions: P P --> PI- X | P P --> K- X | P P --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 2760.0
#: ABS(YRAP),< 1
#: RE,P P --> PI- X
#: SQRT(S) [GeV],2760.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,3.596,0.003,-0.003,0.328,-0.328,3.0%,-3.0%
0.175,4.526,0.002,-0.002,0.145,-0.145,3.0%,-3.0%
0.225,4.593,0.002,-0.002,0.109,-0.109,3.0%,-3.0%
0.275,4.159,0.002,-0.002,0.089,-0.089,3.0%,-3.0%
0.325,3.612,0.002,-0.002,0.074,-0.074,3.0%,-3.0%
0.375,3.109,0.002,-0.002,0.063,-0.063,3.0%,-3.0%
0.425,2.648,0.002,-0.002,0.054,-0.054,3.0%,-3.0%
0.475,2.243,0.002,-0.002,0.045,-0.045,3.0%,-3.0%
0.525,1.903,0.002,-0.002,0.038,-0.038,3.0%,-3.0%
0.575,1.616,0.001,-0.001,0.033,-0.033,3.0%,-3.0%
0.625,1.375,0.001,-0.001,0.028,-0.028,3.0%,-3.0%
0.675,1.168,0.001,-0.001,0.024,-0.024,3.0%,-3.0%
0.725,0.9971,0.0012,-0.0012,0.0211,-0.0211,3.0%,-3.0%
0.775,0.8497,0.0012,-0.0012,0.0187,-0.0187,3.0%,-3.0%
0.825,0.7288,0.0012,-0.0012,0.0166,-0.0166,3.0%,-3.0%
0.875,0.6328,0.0012,-0.0012,0.0147,-0.0147,3.0%,-3.0%
0.925,0.5609,0.0012,-0.0012,0.0137,-0.0137,3.0%,-3.0%
0.975,0.4865,0.0012,-0.0012,0.0134,-0.0134,3.0%,-3.0%
1.025,0.4147,0.0013,-0.0013,0.0123,-0.0123,3.0%,-3.0%
1.075,0.37,0.0014,-0.0014,0.0122,-0.0122,3.0%,-3.0%
1.125,0.321,0.0015,-0.0015,0.012,-0.012,3.0%,-3.0%
1.175,0.2809,0.0021,-0.0021,0.0112,-0.0112,3.0%,-3.0%
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> K- X
#: SQRT(S) [GeV],2760.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,0.2927,0.0008,-0.0008,0.0136,-0.0136,3.0%,-3.0%
0.275,0.3282,0.0008,-0.0008,0.0099,-0.0099,3.0%,-3.0%
0.325,0.3451,0.0007,-0.0007,0.0087,-0.0087,3.0%,-3.0%
0.375,0.3453,0.0007,-0.0007,0.0079,-0.0079,3.0%,-3.0%
0.425,0.3379,0.0007,-0.0007,0.0074,-0.0074,3.0%,-3.0%
0.475,0.3229,0.0007,-0.0007,0.0071,-0.0071,3.0%,-3.0%
0.525,0.3039,0.0007,-0.0007,0.0069,-0.0069,3.0%,-3.0%
0.575,0.2866,0.0007,-0.0007,0.0066,-0.0066,3.0%,-3.0%
0.625,0.266,0.0007,-0.0007,0.0063,-0.0063,3.0%,-3.0%
0.675,0.2461,0.0007,-0.0007,0.0063,-0.0063,3.0%,-3.0%
0.725,0.2288,0.0007,-0.0007,0.0061,-0.0061,3.0%,-3.0%
0.775,0.2129,0.0007,-0.0007,0.0062,-0.0062,3.0%,-3.0%
0.825,0.1911,0.0008,-0.0008,0.0063,-0.0063,3.0%,-3.0%
0.875,0.165,0.0008,-0.0008,0.0064,-0.0064,3.0%,-3.0%
0.925,0.1435,0.0009,-0.0009,0.0074,-0.0074,3.0%,-3.0%
0.975,0.127,0.0011,-0.0011,0.0081,-0.0081,3.0%,-3.0%
1.025,0.115,0.0014,-0.0014,0.009,-0.009,3.0%,-3.0%
1.075,-,0,0,0,0,0,0
1.125,-,0,0,0,0,0,0
1.175,-,0,0,0,0,0,0
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> PBAR X
#: SQRT(S) [GeV],2760.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,-,0,0,0,0,0,0
0.275,-,0,0,0,0,0,0
0.325,-,0,0,0,0,0,0
0.375,0.1049,0.0004,-0.0004,0.0039,-0.0039,3.0%,-3.0%
0.425,0.1121,0.0004,-0.0004,0.0036,-0.0036,3.0%,-3.0%
0.475,0.1217,0.0004,-0.0004,0.0035,-0.0035,3.0%,-3.0%
0.525,0.1227,0.0004,-0.0004,0.0036,-0.0036,3.0%,-3.0%
0.575,0.1225,0.0004,-0.0004,0.0036,-0.0036,3.0%,-3.0%
0.625,0.1213,0.0004,-0.0004,0.0034,-0.0034,3.0%,-3.0%
0.675,0.114,0.0004,-0.0004,0.0032,-0.0032,3.0%,-3.0%
0.725,0.1086,0.0004,-0.0004,0.0028,-0.0028,3.0%,-3.0%
0.775,0.1008,0.0004,-0.0004,0.0027,-0.0027,3.0%,-3.0%
0.825,0.09692,0.00037,-0.00037,0.00249,-0.00249,3.0%,-3.0%
0.875,0.09009,0.00036,-0.00036,0.0024,-0.0024,3.0%,-3.0%
0.925,0.08162,0.00035,-0.00035,0.00206,-0.00206,3.0%,-3.0%
0.975,0.07643,0.00034,-0.00034,0.00208,-0.00208,3.0%,-3.0%
1.025,0.06914,0.00033,-0.00033,0.00185,-0.00185,3.0%,-3.0%
1.075,0.06565,0.00033,-0.00033,0.0017,-0.0017,3.0%,-3.0%
1.125,0.06108,0.00032,-0.00032,0.00171,-0.00171,3.0%,-3.0%
1.175,0.05549,0.00033,-0.00033,0.00147,-0.00147,3.0%,-3.0%
1.225,0.05302,0.00033,-0.00033,0.00148,-0.00148,3.0%,-3.0%
1.275,0.04902,0.00033,-0.00033,0.00136,-0.00136,3.0%,-3.0%
1.325,0.04344,0.00033,-0.00033,0.00127,-0.00127,3.0%,-3.0%
1.375,0.04008,0.00032,-0.00032,0.00128,-0.00128,3.0%,-3.0%
1.425,0.03491,0.00032,-0.00032,0.00114,-0.00114,3.0%,-3.0%
1.475,0.03142,0.00032,-0.00032,0.00111,-0.00111,3.0%,-3.0%
1.525,0.03345,0.00037,-0.00037,0.00139,-0.00139,3.0%,-3.0%
1.575,0.02627,0.0004,-0.0004,0.00128,-0.00128,3.0%,-3.0%
1.625,0.0227,0.00043,-0.00043,0.00118,-0.00118,3.0%,-3.0%
1.675,0.02192,0.00056,-0.00056,0.00131,-0.00131,3.0%,-3.0%

