#: table_doi: 10.17182/hepdata.59366.v1/t6
#: name: Table 6
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI-, K- and PBAR)  and  at a centre-of-mass energy of 7000 GeV.

#: data_file: Table6.yaml
#: keyword reactions: P P --> PI- X | P P --> K- X | P P --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 7000.0
#: ABS(YRAP),< 1
#: RE,P P --> PI- X
#: SQRT(S) [GeV],7000.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,4.44,0.003,-0.003,0.406,-0.406,3.0%,-3.0%
0.175,5.575,0.003,-0.003,0.179,-0.179,3.0%,-3.0%
0.225,5.588,0.003,-0.003,0.134,-0.134,3.0%,-3.0%
0.275,5.041,0.002,-0.002,0.107,-0.107,3.0%,-3.0%
0.325,4.397,0.002,-0.002,0.09,-0.09,3.0%,-3.0%
0.375,3.794,0.002,-0.002,0.077,-0.077,3.0%,-3.0%
0.425,3.246,0.002,-0.002,0.066,-0.066,3.0%,-3.0%
0.475,2.769,0.002,-0.002,0.056,-0.056,3.0%,-3.0%
0.525,2.375,0.002,-0.002,0.048,-0.048,3.0%,-3.0%
0.575,2.032,0.002,-0.002,0.041,-0.041,3.0%,-3.0%
0.625,1.739,0.002,-0.002,0.035,-0.035,3.0%,-3.0%
0.675,1.499,0.002,-0.002,0.031,-0.031,3.0%,-3.0%
0.725,1.29,0.002,-0.002,0.028,-0.028,3.0%,-3.0%
0.775,1.117,0.001,-0.001,0.025,-0.025,3.0%,-3.0%
0.825,0.977,0.0015,-0.0015,0.0224,-0.0224,3.0%,-3.0%
0.875,0.8601,0.0015,-0.0015,0.02,-0.02,3.0%,-3.0%
0.925,0.7628,0.0016,-0.0016,0.0188,-0.0188,3.0%,-3.0%
0.975,0.6559,0.0016,-0.0016,0.0185,-0.0185,3.0%,-3.0%
1.025,0.5884,0.0017,-0.0017,0.018,-0.018,3.0%,-3.0%
1.075,0.507,0.0018,-0.0018,0.0176,-0.0176,3.0%,-3.0%
1.125,0.4364,0.002,-0.002,0.0183,-0.0183,3.0%,-3.0%
1.175,0.3664,0.0028,-0.0028,0.0186,-0.0186,3.0%,-3.0%
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> K- X
#: SQRT(S) [GeV],7000.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,0.3442,0.0009,-0.0009,0.0158,-0.0158,3.0%,-3.0%
0.275,0.3898,0.0009,-0.0009,0.012,-0.012,3.0%,-3.0%
0.325,0.4119,0.0009,-0.0009,0.0108,-0.0108,3.0%,-3.0%
0.375,0.4125,0.0008,-0.0008,0.0096,-0.0096,3.0%,-3.0%
0.425,0.4046,0.0008,-0.0008,0.0089,-0.0089,3.0%,-3.0%
0.475,0.3895,0.0008,-0.0008,0.0086,-0.0086,3.0%,-3.0%
0.525,0.3745,0.0008,-0.0008,0.0085,-0.0085,3.0%,-3.0%
0.575,0.3505,0.0008,-0.0008,0.0082,-0.0082,3.0%,-3.0%
0.625,0.3291,0.0008,-0.0008,0.0079,-0.0079,3.0%,-3.0%
0.675,0.3081,0.0008,-0.0008,0.0078,-0.0078,3.0%,-3.0%
0.725,0.2909,0.0009,-0.0009,0.0078,-0.0078,3.0%,-3.0%
0.775,0.2684,0.0009,-0.0009,0.0081,-0.0081,3.0%,-3.0%
0.825,0.2405,0.0009,-0.0009,0.0085,-0.0085,3.0%,-3.0%
0.875,0.2144,0.001,-0.001,0.009,-0.009,3.0%,-3.0%
0.925,0.191,0.0011,-0.0011,0.0108,-0.0108,3.0%,-3.0%
0.975,0.1746,0.0014,-0.0014,0.0122,-0.0122,3.0%,-3.0%
1.025,0.1617,0.0018,-0.0018,0.0134,-0.0134,3.0%,-3.0%
1.075,-,0,0,0,0,0,0
1.125,-,0,0,0,0,0,0
1.175,-,0,0,0,0,0,0
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> PBAR X
#: SQRT(S) [GeV],7000.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,-,0,0,0,0,0,0
0.275,-,0,0,0,0,0,0
0.325,-,0,0,0,0,0,0
0.375,0.1251,0.0005,-0.0005,0.0046,-0.0046,3.0%,-3.0%
0.425,0.1352,0.0005,-0.0005,0.0042,-0.0042,3.0%,-3.0%
0.475,0.1445,0.0005,-0.0005,0.0043,-0.0043,3.0%,-3.0%
0.525,0.1448,0.0005,-0.0005,0.0041,-0.0041,3.0%,-3.0%
0.575,0.1461,0.0005,-0.0005,0.004,-0.004,3.0%,-3.0%
0.625,0.1418,0.0005,-0.0005,0.0039,-0.0039,3.0%,-3.0%
