#: table_doi: 10.17182/hepdata.59366.v1/t3
#: name: Table 3
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI+, K+ and P)  and  at a centre-of-mass energy of 2760 GeV.

#: data_file: Table3.yaml
#: keyword reactions: P P --> PI+ X | P P --> K+ X | P P --> P X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 2760.0
#: ABS(YRAP),< 1
#: RE,P P --> PI+ X
#: SQRT(S) [GeV],2760.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,3.828,0.003,-0.003,0.339,-0.339,3.0%,-3.0%
0.175,4.749,0.003,-0.003,0.147,-0.147,3.0%,-3.0%
0.225,4.668,0.002,-0.002,0.108,-0.108,3.0%,-3.0%
0.275,4.201,0.002,-0.002,0.09,-0.09,3.0%,-3.0%
0.325,3.66,0.002,-0.002,0.077,-0.077,3.0%,-3.0%
0.375,3.153,0.002,-0.002,0.064,-0.064,3.0%,-3.0%
0.425,2.69,0.002,-0.002,0.055,-0.055,3.0%,-3.0%
0.475,2.275,0.002,-0.002,0.046,-0.046,3.0%,-3.0%
0.525,1.928,0.002,-0.002,0.039,-0.039,3.0%,-3.0%
0.575,1.638,0.001,-0.001,0.033,-0.033,3.0%,-3.0%
0.625,1.389,0.001,-0.001,0.028,-0.028,3.0%,-3.0%
0.675,1.185,0.001,-0.001,0.025,-0.025,3.0%,-3.0%
0.725,1.011,0.001,-0.001,0.021,-0.021,3.0%,-3.0%
0.775,0.8673,0.0012,-0.0012,0.0192,-0.0192,3.0%,-3.0%
0.825,0.7424,0.0012,-0.0012,0.017,-0.017,3.0%,-3.0%
0.875,0.6375,0.0012,-0.0012,0.0151,-0.0151,3.0%,-3.0%
0.925,0.553,0.0013,-0.0013,0.014,-0.014,3.0%,-3.0%
0.975,0.4952,0.0012,-0.0012,0.0141,-0.0141,3.0%,-3.0%
1.025,0.4314,0.0013,-0.0013,0.0135,-0.0135,3.0%,-3.0%
1.075,0.3836,0.0014,-0.0014,0.0132,-0.0132,3.0%,-3.0%
1.125,0.3383,0.0016,-0.0016,0.0133,-0.0133,3.0%,-3.0%
1.175,0.2812,0.0022,-0.0022,0.0124,-0.0124,3.0%,-3.0%
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> K+ X
#: SQRT(S) [GeV],2760.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,0.3008,0.0008,-0.0008,0.0134,-0.0134,3.0%,-3.0%
0.275,0.3301,0.0008,-0.0008,0.0098,-0.0098,3.0%,-3.0%
0.325,0.3531,0.0007,-0.0007,0.0085,-0.0085,3.0%,-3.0%
0.375,0.3542,0.0007,-0.0007,0.0078,-0.0078,3.0%,-3.0%
0.425,0.3434,0.0007,-0.0007,0.0074,-0.0074,3.0%,-3.0%
0.475,0.3289,0.0007,-0.0007,0.0072,-0.0072,3.0%,-3.0%
0.525,0.3114,0.0007,-0.0007,0.0071,-0.0071,3.0%,-3.0%
0.575,0.2915,0.0007,-0.0007,0.0068,-0.0068,3.0%,-3.0%
0.625,0.2716,0.0007,-0.0007,0.0065,-0.0065,3.0%,-3.0%
0.675,0.2497,0.0007,-0.0007,0.0063,-0.0063,3.0%,-3.0%
