#: table_doi: 10.17182/hepdata.59366.v1/t5
#: name: Table 5
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI+, K+ and P)  and  at a centre-of-mass energy of 7000 GeV.

#: data_file: Table5.yaml
#: keyword reactions: P P --> PI+ X | P P --> K+ X | P P --> P X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 7000.0
#: ABS(YRAP),< 1
#: RE,P P --> PI+ X
#: SQRT(S) [GeV],7000.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,4.705,0.003,-0.003,0.413,-0.413,3.0%,-3.0%
0.175,5.801,0.003,-0.003,0.179,-0.179,3.0%,-3.0%
0.225,5.673,0.003,-0.003,0.134,-0.134,3.0%,-3.0%
0.275,5.107,0.003,-0.003,0.111,-0.111,3.0%,-3.0%
0.325,4.44,0.002,-0.002,0.094,-0.094,3.0%,-3.0%
0.375,3.818,0.002,-0.002,0.078,-0.078,3.0%,-3.0%
0.425,3.273,0.002,-0.002,0.067,-0.067,3.0%,-3.0%
0.475,2.798,0.002,-0.002,0.057,-0.057,3.0%,-3.0%
0.525,2.392,0.002,-0.002,0.048,-0.048,3.0%,-3.0%
0.575,2.053,0.002,-0.002,0.042,-0.042,3.0%,-3.0%
0.625,1.753,0.002,-0.002,0.036,-0.036,3.0%,-3.0%
0.675,1.506,0.002,-0.002,0.031,-0.031,3.0%,-3.0%
0.725,1.304,0.002,-0.002,0.028,-0.028,3.0%,-3.0%
0.775,1.136,0.001,-0.001,0.026,-0.026,3.0%,-3.0%
0.825,0.9809,0.0015,-0.0015,0.0229,-0.0229,3.0%,-3.0%
0.875,0.8585,0.0015,-0.0015,0.0206,-0.0206,3.0%,-3.0%
0.925,0.748,0.0016,-0.0016,0.0191,-0.0191,3.0%,-3.0%
0.975,0.6617,0.0016,-0.0016,0.02,-0.02,3.0%,-3.0%
1.025,0.5889,0.0017,-0.0017,0.0196,-0.0196,3.0%,-3.0%
1.075,0.5137,0.0019,-0.0019,0.0193,-0.0193,3.0%,-3.0%
1.125,0.4518,0.0022,-0.0022,0.0206,-0.0206,3.0%,-3.0%
1.175,0.3356,0.003,-0.003,0.0212,-0.0212,3.0%,-3.0%
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> K+ X
#: SQRT(S) [GeV],7000.0
